route_name,route_long,headsign,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source,saccos
48O,Odeon-Chiromo-Kileleshwa-Othaya Road,Odeon,-1.288636,36.773029,-1.282766,36.825067,5.82,40,calibrated (x0.906),UNMATCHED
48K,Westlands-ABC Place-Lavington-Kawangware,Westlands,-1.28929,36.753151,-1.262748,36.800365,6.02,100,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,Kikuyu,-1.282794,36.82505,-1.246648,36.665025,18.24,40,calibrated (x0.906),KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD | SUPER METRO
114W,Ngara-Westlands-Kangemi-Limuru,Ngara,-1.108482,36.643197,-1.274246,36.823345,27.22,200,calibrated (x0.906),FIG KOMBA | KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
115,Koja-Westlands-Kangemi-Limuru,Koja,-1.108503,36.643218,-1.280959,36.822792,27.68,200,calibrated (x0.906),KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
118,Koja-Westlands-Kabete-Wangige,Koja,-1.219107,36.712403,-1.281116,36.82275,14.07,60,survey (2026 actual),LOPHA MULTIPURPOSE CO-OP SOCIETY | WALOKANA MULTIPURPOSE SACCO LTD
119,Koja-Westgate-Wangige,Koja,-1.219134,36.712334,-1.281388,36.822583,14.08,100,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY
48A,Odeon-Chiromo-Strathmore School-Lavington,Odeon,-1.280106,36.769057,-1.282584,36.825008,6.23,40,calibrated (x0.906),UNMATCHED
48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,Odeon,-1.288636,36.773029,-1.2826,36.825019,5.82,40,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
48C,Odeon-Chiromo-Westlands-ByPass-Yaya,Odeon,-1.291662,36.78709,-1.282738,36.825024,4.33,40,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,Koja,-1.219102,36.738802,-1.281388,36.822567,11.61,150,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
135,Kaka-Westlands-Kangemi-Limuru,Kaka,-1.108561,36.643231,-1.285635,36.830776,28.68,200,calibrated (x0.906),KAKA TRAVELLERS SACCO LTD | KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
CBD-PKLANDS,Railways-Parklands,Parklands,-1.2833,36.8167,-1.2633,36.8167,4.0,50,survey (2026 actual),UNMATCHED
CBD-KW,Railways-Thika Road-Allsops-Bypass-Kahawa West,Kahawa West,-1.2833,36.8167,-1.1817,36.9283,22.0,100,survey (2026 actual),UNMATCHED
BYPASS-KW,Bypass-Kahawa West,Kahawa West,-1.2167,36.8867,-1.1817,36.9283,8.0,50,survey (2026 actual),UNMATCHED
KW-MEMBLEY,Kahawa West-Membley,Membley,-1.1817,36.9283,-1.1417,36.9417,5.0,50,survey (2026 actual),UNMATCHED
BYPASS-KUTRRH,Bypass-Kahawa West-KU Referral,KU Referral,-1.2167,36.8867,-1.18,36.9317,7.0,50,survey (2026 actual),UNMATCHED
KW-KUTRRH,Kahawa West-KU Referral,KU Referral,-1.1817,36.9283,-1.18,36.9317,2.0,50,survey (2026 actual),UNMATCHED
CBD-SYOKIMAU,Railways-Mombasa Road-JKIA-Syokimau,Syokimau,-1.2833,36.8167,-1.3617,36.8983,20.0,100,survey (2026 actual),UNMATCHED
CBD-THIKA,Railways-Pangani-Thika Road-Kasarani-Thika,Thika,-1.2833,36.8167,-1.0333,37.075,40.0,100,survey (2026 actual),UNMATCHED
3,GPO-Ngong Road-Adams Arcade-Dagoretti Corner,GPO,-1.298436,36.759878,-1.286700,36.821100,10.5,100,public source (2026),NGONG TRAVELLERS SACCO
4,Kencom-Ngong Road-Adams Arcade-Dagoretti,Kencom,-1.313000,36.715000,-1.285701,36.824697,11.5,100,public source (2026),NGONG TRAVELLERS SACCO
9,Tom Mboya-Kariokor-Ngara-KIE-Pangani-Eastleigh,Tom Mboya,-1.272236,36.848879,-1.284300,36.828300,4.5,50,public source (2026),UNMATCHED
146,Odeon-Pangani-Roysambu-Kahawa Wendani-KU-Ruiru,Odeon,-1.147492,36.959226,-1.282788,36.824681,21.5,150,public source (2026),GITHURAI 45 SACCO | NAGIRU 145 SACCO | NAWASUKU SACCO
22,Kencom-Westlands-Kangemi-Uthiru,Kencom,-1.256943,36.723705,-1.285701,36.824697,12.1,100,public source (2026),KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
31,OTC-Kariokor-Gikomba-Dandora,OTC,-1.245076,36.867274,-1.284061,36.831181,9.0,60,public source (2026),DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
236,Odeon-Pangani-Roysambu-Githurai-Juja,Odeon,-1.089000,37.022000,-1.282788,36.824681,26.0,150,public source (2026),SUPER METRO | GITHURAI 45 SACCO
239,Odeon-Pangani-Roysambu-Githurai-Ruiru-Thika,Odeon,-1.035397,37.076433,-1.284149,36.827805,39.0,150,public source (2026),GITHURAI 45 SACCO | NAWASUKU SACCO
11D,Odeon-Parklands-MP Shah-Westlands-UKAY Centre,UKAY Centre,-1.262500,36.801300,-1.282992,36.824750,4.50,50,public source (2026),LOPHA MULTIPURPOSE CO-OP SOCIETY
11F,Odeon-Kiambu Road-Bypass-Githogoro-Two Rivers-Ruaka,Ruaka,-1.207219,36.786019,-1.282992,36.824750,13.00,100,public source (2026),LOPHA MULTIPURPOSE CO-OP SOCIETY
107A,Odeon-Parklands-UN-Runda-Two Rivers-Ruaka-Ndenderu-Karura,Karura,-1.178000,36.794000,-1.282981,36.824750,18.00,150,public source (2026),RUNKA SACCO
WALK-AGIP-RAIL,Agip-Railways,Walk,-1.291033,36.828285,-1.288800,36.828200,0.30,0,walk,WALK
WALK-AGIP-BS,Agip-Bus Station,Walk,-1.287176,36.829026,-1.288800,36.828200,0.20,0,walk,WALK
WALK-KAKA-OTC,Kaka-OTC,Walk,-1.284061,36.831181,-1.286125,36.830898,0.25,0,walk,WALK
WALK-RACE-OTC,Racecourse Road-OTC,Walk,-1.284061,36.831181,-1.286017,36.829702,0.33,0,walk,WALK
WALK-GILL-OTC,Gill House-OTC,Walk,-1.284061,36.831181,-1.286361,36.826907,0.35,0,walk,WALK
WALK-GILL-BS,Gill House-Bus Station,Walk,-1.287176,36.829026,-1.286361,36.826907,0.30,0,walk,WALK
WALK-GPO-RAIL,GPO-Railways,Walk,-1.291033,36.828285,-1.286700,36.821100,0.60,0,walk,WALK
WALK-GPO-KCM,GPO-Kencom,Walk,-1.285690,36.824750,-1.286700,36.821100,0.30,0,walk,WALK
WALK-TOMBOYA-AMB,Tom Mboya-Ambassadeur,Walk,-1.285411,36.825802,-1.284300,36.828300,0.20,0,walk,WALK
