route_name,route_long,headsign,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source,saccos
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Roysambu,-1.23394,36.93051,-1.220405,36.892422,4.49,50,survey (2026 actual),MWIKI PSV SACCO
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Tusker,-1.035397,37.076433,-1.284149,36.827805,39.1,150,calibrated (x0.906),GITHURAI 45 SACCO | LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAKATHI TRAVELLERS SACCO LTD | NAWASUKU SACCO | SUPER HIGHWAY 45 SACCO | SUPER METRO
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Odeon,-1.239763,36.897511,-1.282686,36.824541,9.41,50,survey (2026 actual),BABA DOGO 25 TRAVELLERS SACCO | LUCKY BABA DOGO TRAVELLERS SACCO
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Ngara,-1.17037,36.830528,-1.278357,36.830243,12.01,150,calibrated (x0.906),FIG KOMBA | KAKA TRAVELLERS SACCO LTD | KIAMBU MARAFIKI SACCO LTD
2030,Allsops-Rounda,Allsops,-1.26228,36.878684,-1.245232,36.867945,2.24,50,survey (2026 actual),ALSOPS TRAVELLERS SERVICE LTD
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Ngara,-1.252152,36.86729,-1.27413,36.823887,5.41,60,calibrated (x0.906),FIG KOMBA | MANMO SACCO
3N,Gikomba-Kariokor-Ngara,Ngara,-1.284038,36.840554,-1.275761,36.82474,1.98,50,survey (2026 actual),FIG KOMBA
7,Town-Kariokor DC-Gikomba,Town,-1.284043,36.840559,-1.286312,36.829444,1.26,40,calibrated (x0.906),UNMATCHED
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,OTC,-1.255301,36.878577,-1.284061,36.831181,6.16,50,survey (2026 actual),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | KARIOBANGI MATATU SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
28,Gikomba-Eastleigh-Huruma-Kariobangi,Gikomba,-1.2554,36.878468,-1.284126,36.840649,5.28,60,calibrated (x0.906),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | KARIOBANGI MATATU SACCO LTD
32D,OTC-Kariokor-Mlango-Rounda-Dandora,OTC,-1.245049,36.90843,-1.284837,36.830962,9.68,100,survey (2026 actual),DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
