route_name,route_long,headsign,direction,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source
53,Roasters-Thome-Maruirui,Roasters,0,-1.211103,36.874307,-1.233435,36.872858,2.49,50,survey (1 resp)
53,Roasters-Thome-Maruirui,Marurui,1,-1.233682,36.872638,-1.211055,36.874312,2.52,50,survey (1 resp)
27,Kariobangi North - Thika road - Town,Kariobangi,0,-1.284365,36.831225,-1.253058,36.884859,6.9,150,model (rev-only survey)
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kaka,0,-1.168976,36.82629,-1.286125,36.830898,13.04,150,model (calibrated)
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kiambu,1,-1.286071,36.830919,-1.168966,36.826301,13.03,150,model (calibrated)
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Githunguri,0,-1.286001,36.830699,-1.05638,36.778932,26.17,150,model (calibrated)
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Kaka,1,-1.05638,36.778932,-1.286098,36.830598,26.18,150,model (calibrated)
121,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Kaka,0,-1.151559,36.805576,-1.285969,36.830624,15.2,150,survey (1 resp)
121,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Ndumberi,1,-1.285969,36.830657,-1.151559,36.805576,15.2,150,survey (1 resp)
145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,Tusker,0,-1.147492,36.959226,-1.285341,36.828648,21.11,150,model (calibrated)
145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,Ruiru,1,-1.285213,36.828892,-1.147621,36.959322,21.08,150,model (calibrated)
17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,Bus Station,0,-1.233992,36.930641,-1.287181,36.830276,12.63,100,survey (1 resp)
17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,Mwiki,1,-1.286457,36.829852,-1.233923,36.930521,12.62,100,survey (1 resp)
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Roysambu,0,-1.23394,36.93051,-1.220405,36.892422,4.49,50,survey (1 resp)
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Mwiki,1,-1.220518,36.892396,-1.233945,36.930526,4.49,50,survey (1 resp)
