Timestamp,Route,Fare Paid (KSh),Direction
2026-04-29T09:51:53.935Z,Kahawa West - CBD,100,Kahawa West → CBD
2026-04-29T09:52:23.229Z,Kahawa West - Membley,50,Kahawa West → Membley
2026-04-29T09:52:23.229Z,Membley - Kahawa West,50,Membley → Kahawa West
2026-04-29T09:56:20.729Z,CBD - Parklands,50,CBD → Parklands
2026-04-29T09:56:20.729Z,Parklands - CBD,50,Parklands → CBD
2026-04-29T09:58:15.167Z,Bypass - KU Referral (KUTRRH),50,Bypass → KU Referral (KUTRRH)
2026-04-29T09:58:15.168Z,KU Referral (KUTRRH) - Bypass,50,KU Referral (KUTRRH) → Bypass
2026-04-29T09:59:19.518Z,Kahawa West - KU Referral (KUTRRH),50,Kahawa West → KU Referral (KUTRRH)
2026-04-29T09:59:19.518Z,KU Referral (KUTRRH) - Kahawa West,50,KU Referral (KUTRRH) → Kahawa West
2026-04-29T10:09:41.448Z,Kahawa West - Bypass,50,Kahawa West → Bypass
2026-04-29T10:10:34.028Z,Bypass - CBD,100,Bypass → CBD
2026-04-29T10:46:13.168Z,eastleigh - kariokor,50,eastleigh → kariokor
2026-04-29T10:47:09.044Z,Cbd - Thika,100,Cbd → Thika
2026-04-29T10:47:28.258Z,Thika - Cbd,150,Thika → Cbd
2026-04-29T10:47:31.659Z,Rongai - Donholm,200,Rongai → Donholm
2026-04-29T10:47:31.663Z,Donholm - Rongai,200,Donholm → Rongai
2026-04-29T11:12:18.609Z,CBD - KU (via Githurai 45),100,CBD → KU
2026-04-29T11:13:29.865Z,CBD - Kitengela,150,CBD → Kitengela
2026-04-29T13:09:28.526Z,CBD - Ngara,50,CBD → Ngara
2026-04-29T13:09:57.075Z,CBD - Gate B,100,CBD → Gate B
2026-04-29T13:10:11.503Z,CBD - JKIA,150,CBD → JKIA
2026-04-29T13:10:22.682Z,CBD - Pipeline,50,CBD → Pipeline
2026-04-29T13:10:37.932Z,CBD - Langata,50,CBD → Langata
