stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0100PEF,Pefa/All Nations/Muchatha,-1.197129,36.782933,2,106 116
0100PNA,Amani Plaza,-1.259626,36.817136,1,11A
0100POA,Pa Mutoori,-1.202194,36.767171,1,114R
0100POW,Power,-1.21731,36.778253,1,108
0100PSA,La Philla Carwash,-1.190634,36.906088,1,107D
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,5,106 107 114R 116 11B
0100RCN,Ruaka Catholic Church Entrance,-1.20614,36.78059,2,107 114R
0100REE,PCEA Ndenderu,-1.195537,36.75203,1,107
0100RES,Runda Estate Entrance,-1.21873,36.80177,5,106 107 114R 116 11B
0100RGH,Jamhuri High School,-1.272204,36.822395,3,107 11A 11B
0100RJI,Ruiru Road Junction,-1.152105,36.919942,1,107D
0100RKH,Runda/Karura Carwash,-1.22091,36.80144,5,106 107 114R 116 11B
0100RRD,Ruaka Redeemed Gospel Church,-1.20651,36.78206,2,107 114R
0100RRJ,Redhill Road Junction,-1.23398,36.80339,5,106 107 114R 116 11B
0100RRP,Rosslyn Road/Karura Community Chapel,-1.216398,36.799275,5,106 107 114R 116 11B
0100RUD,Runda Road,-1.215553,36.814957,1,107D
0100RUI,Marurui/JuaKali,-1.211282,36.874438,1,107D
0100RYA,Rumenye,-1.199645,36.758151,2,107 114R
0100SAR,Car Wash,-1.217006,36.777211,1,108
0100SHT,Sacred Heart,-1.186278,36.767456,2,106 116
0100SKU,Kibutu Stage,-1.188274,36.771318,1,116
0100SLG,Slaughter/Bypass,-1.20578,36.78005,2,107 114R
0100SNW,Good News/Nyari Gate 2,-1.22548,36.791518,1,108
0100S/R,Rosslyn Road/Riviera,-1.217129,36.800431,1,114R
0100STI,Site,-1.178033,36.722459,1,114R
0100T1I,Barrier 1/Nyari Gate 1,-1.226569,36.795694,1,108
0100TCP,Total/City Park,-1.25943,36.82673,5,106 107 114R 116 11B
0100TIG,Tigoni,-1.126686,36.671788,1,116
0100TOR,Metro,-1.215183,36.859565,1,107D
0100TPS,Post,-1.149687,36.945525,1,107D
0100TTM,Total/Muchatha,-1.193078,36.777371,2,106 116
0100UBP,Bumps,-1.206464,36.781838,1,114R
0100UEA,Delta Petrol Station Ruaka/Border,-1.208793,36.787926,1,114R
0100UMA,Munata,-1.220374,36.768392,1,108
0100UMT,Makutano,-1.192345,36.745231,1,114R
0100VDA,Victory Gospel/Sda,-1.19432,36.7429,1,107
0100VEV,Velvet Lounge/Kigwaru,-1.202782,36.785553,2,106 116
0100VIN,Victory Inn,-1.181773,36.762476,2,106 116
0100VLU,6th Parklands Avenue/Regal House/Kobil,-1.257893,36.826952,2,107 114R
0100WSI,Nyari West,-1.225469,36.785949,1,108
0100XAM,Maxx,-1.182003,36.728585,1,114R
0101AGA,Aga Khan Academy,-1.26628,36.82331,6,106 107 114R 116 11A 11B
0101AKE,Aga Khan Entrance,-1.26178,36.82224,1,11A
0101AKH,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249,1,11A
0101AKN,Kwa Nyama,-1.20449,36.786019,1,107D
0101ALM,Amani Plaza/Almond Court,-1.25962,36.81717,1,11A
0101AME,Ambassadors Entrance,-1.19804,36.75538,2,107 114R
0101ARA,Garage,-1.222204,36.780446,1,108
0101ARC,Car Wash,-1.204839,36.782516,1,107D
0101ARR,Nish Raaj/Mulberry,-1.257581,36.81246,1,11A
0101ARY,Arya Girls' Secondary School,-1.26085,36.82007,1,11A
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521,1,107D
0101BLU,Blue Kiosk Stage,-1.154688,36.675681,1,114R
0101CAV,Church Of Acts/Velvet Lounge,-1.203525,36.785397,2,106 116
0101CEF,Kwa Chief,-1.216448,36.821886,1,107D
0101CHC,Christco Church,-1.19628,36.75294,2,107 114R
0101CHF,Sub Chief,-1.219799,36.778197,1,108
0101CPK,City Park,-1.26057,36.82615,5,106 107 114R 116 11B
0101DGG,Ridgesways Girls,-1.215046,36.864683,1,107D
0101DPB,Delta Petrol Station/Border,-1.20918,36.7882,5,106 107 114R 116 11B
0101ETA,Marrieta,-1.143779,36.661749,1,114R
0101FRK,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175,2,107 114R
0101GOG,Guango,-1.195673,36.780783,2,106 116
0101GRJ,Gacharage Junction,-1.20041,36.76058,2,107 114R
0101GVS,Green Valley School,-1.125007,36.677194,1,116
0101HMO,Chamoka,-1.218749,36.774099,1,108
0101HUS,SDA Church,-1.220482,36.769727,1,108
0101HWO,Mwisho Road,-1.22267,36.781277,1,108
0101IAI,Gwaiti,-1.180601,36.726319,1,114R
0101IGA,Kahigo,-1.203357,36.77131,1,114R
0101ION,Junction To Limuru Town,-1.133245,36.643564,1,114R
0101IRR,River,-1.221823,36.779866,1,108
0101JAK,Jakai,-1.219745,36.772222,1,108
0101JHS,Jamhuri High School,-1.27335,36.82297,6,106 107 114R 116 11A 11B
0101JLI,Jua Kali,-1.211161,36.874486,1,107D
0101KAT,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636,2,106 116
0101KCK,Kenchic,-1.132763,36.697946,1,116
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667,1,107D
0101KKB,Kamukabi,-1.222324,36.780623,1,108
0101KME,Kimera Medical Centre,-1.146608,36.716753,1,116
0101KOB,Kobil/Banana,-1.17466,36.759053,2,106 116
0101KTO,Kwa Moturi/Gachiraini,-1.20202,36.7662,2,107 114R
0101LIK,Likoni,-1.178733,36.760654,2,106 116
0101LMA,Mlanda,-1.219961,36.767389,1,108
0101LMC,Limuru Catering,-1.124567,36.679518,1,116
0101LSC,Life Sanctuary Church/Muchatha Shopping Centre,-1.19145,36.775071,2,106 116
0101MCC,Muchatha Shopping Centre,-1.192055,36.775879,2,106 116
0101MCY,Mothers Mercys,-1.180059,36.725487,1,114R
0101MDS,Muchatha Dispensary/Kwa Shule/Yamongo Drive,-1.189723,36.773257,2,106 116
0101MIC,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190698,36.774211,2,106 116
0101MIM,Mimosa,-1.212005,36.804767,1,107D
0101M.K,K.M.,-1.166178,36.919853,1,107D
0101MKB,Mkulima Supermarket/Banana,-1.175287,36.759291,2,106 116
0101MOM,Mombasa,-1.177906,36.760269,2,106 116
0101MRB,Maramba Tea Factory,-1.134492,36.703458,1,116
0101MTH,Muthaiga Junction,-1.228633,36.798518,1,108
0101MUC,Redeemed/Pefa Muchatha,-1.197213,36.782874,2,106 116
0101NDJ,Ndenderu Junction/Makutano,-1.192266,36.743758,1,107
0101N'G,Kwa Ng'ang'a,-1.217757,36.778144,1,108
